study_id,item_id,item_filename,item_cdn_url,participant_id,participant_external_id,participant_display_name,participant_tags,participant_quality_grade,participant_quality_grade_item,test_item_display_order,exposure_number,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,saccade_amplitude_percent,notes
3d7ccddb-407c-46b4-b1f0-e4b97c7815c1,060f0597-d73d-49ef-8867-0e4199ceeeee,Europe1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_3d7ccddb-407c-46b4-b1f0-e4b97c7815c1/project_lg_060f0597-d73d-49ef-8867-0e4199ceeeee.jpg?v=14.13.0,fa9902d6-4d48-4c2e-9502-1a95945e072a,,"Deniz, Female",,6,6,1,1,51.290359830801,59.607791264654,5,391,386,7.6946521643709,"RealEye v14.13.0; FixationFilterSettings [gazePointInterpolationHz = 30; gazePointInterpolationMaxGapMs = 50; gazeVelocityThreshold = 150; minFixationDurationMs = 80; maxFixationDurationMs = 400; movingMediaRangeMs = 200; saccadeMaxDurationMs = 150]; TestCriteria [;isGenderMale=true;isGenderFemale=true;isGenderOther=true;isGenderNotSpecified=true;exposureNumber=1;qualityMin=1;qualityMax=6;exposureNumber=1;isParticipantTypeRealEye=true;isParticipantTypeNonRealEye=true;isDeviceDesktop=true;isDeviceSmartphone=true;isDeviceTablet=true;isSetupLocal=true;isSetupMouse=true;isSetupOpengaze=true]; 2023-06-30T22:30:45+00:00"
3d7ccddb-407c-46b4-b1f0-e4b97c7815c1,060f0597-d73d-49ef-8867-0e4199ceeeee,Europe1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_3d7ccddb-407c-46b4-b1f0-e4b97c7815c1/project_lg_060f0597-d73d-49ef-8867-0e4199ceeeee.jpg?v=14.13.0,fa9902d6-4d48-4c2e-9502-1a95945e072a,,"Deniz, Female",,6,6,1,1,42.56984813602,62.054432804076,409,787,378,20.523923947975,
3d7ccddb-407c-46b4-b1f0-e4b97c7815c1,060f0597-d73d-49ef-8867-0e4199ceeeee,Europe1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_3d7ccddb-407c-46b4-b1f0-e4b97c7815c1/project_lg_060f0597-d73d-49ef-8867-0e4199ceeeee.jpg?v=14.13.0,fa9902d6-4d48-4c2e-9502-1a95945e072a,,"Deniz, Female",,6,6,1,1,21.480034722222,43.431712962963,851,943,92,11.247010445085,
3d7ccddb-407c-46b4-b1f0-e4b97c7815c1,060f0597-d73d-49ef-8867-0e4199ceeeee,Europe1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_3d7ccddb-407c-46b4-b1f0-e4b97c7815c1/project_lg_060f0597-d73d-49ef-8867-0e4199ceeeee.jpg?v=14.13.0,fa9902d6-4d48-4c2e-9502-1a95945e072a,,"Deniz, Female",,6,6,1,1,11.061157796452,29.89651416122,975,1357,382,3.4578943063644,
3d7ccddb-407c-46b4-b1f0-e4b97c7815c1,060f0597-d73d-49ef-8867-0e4199ceeeee,Europe1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_3d7ccddb-407c-46b4-b1f0-e4b97c7815c1/project_lg_060f0597-d73d-49ef-8867-0e4199ceeeee.jpg?v=14.13.0,fa9902d6-4d48-4c2e-9502-1a95945e072a,,"Deniz, Female",,6,6,1,1,7.1825396825397,28.412698412698,1388,1570,182,10.512880186552,
3d7ccddb-407c-46b4-b1f0-e4b97c7815c1,060f0597-d73d-49ef-8867-0e4199ceeeee,Europe1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_3d7ccddb-407c-46b4-b1f0-e4b97c7815c1/project_lg_060f0597-d73d-49ef-8867-0e4199ceeeee.jpg?v=14.13.0,fa9902d6-4d48-4c2e-9502-1a95945e072a,,"Deniz, Female",,6,6,1,1,-4.5686169767052,23.576492135316,1589,1972,383,12.645404107813,
3d7ccddb-407c-46b4-b1f0-e4b97c7815c1,060f0597-d73d-49ef-8867-0e4199ceeeee,Europe1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_3d7ccddb-407c-46b4-b1f0-e4b97c7815c1/project_lg_060f0597-d73d-49ef-8867-0e4199ceeeee.jpg?v=14.13.0,fa9902d6-4d48-4c2e-9502-1a95945e072a,,"Deniz, Female",,6,6,1,1,9.4894841269841,17.198412698413,1993,2204,211,42.583899898657,
3d7ccddb-407c-46b4-b1f0-e4b97c7815c1,060f0597-d73d-49ef-8867-0e4199ceeeee,Europe1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_3d7ccddb-407c-46b4-b1f0-e4b97c7815c1/project_lg_060f0597-d73d-49ef-8867-0e4199ceeeee.jpg?v=14.13.0,fa9902d6-4d48-4c2e-9502-1a95945e072a,,"Deniz, Female",,6,6,1,1,57.362503713607,34.556115543861,2331,2729,398,2.9031764818332,
3d7ccddb-407c-46b4-b1f0-e4b97c7815c1,060f0597-d73d-49ef-8867-0e4199ceeeee,Europe1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_3d7ccddb-407c-46b4-b1f0-e4b97c7815c1/project_lg_060f0597-d73d-49ef-8867-0e4199ceeeee.jpg?v=14.13.0,fa9902d6-4d48-4c2e-9502-1a95945e072a,,"Deniz, Female",,6,6,1,1,59.935515873016,38.316798941799,2747,3061,314,19.916425615026,
3d7ccddb-407c-46b4-b1f0-e4b97c7815c1,060f0597-d73d-49ef-8867-0e4199ceeeee,Europe1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_3d7ccddb-407c-46b4-b1f0-e4b97c7815c1/project_lg_060f0597-d73d-49ef-8867-0e4199ceeeee.jpg?v=14.13.0,fa9902d6-4d48-4c2e-9502-1a95945e072a,,"Deniz, Female",,6,6,1,1,79.730873550318,58.611111111111,3081,3465,384,10.761539197464,
