study_id,item_id,item_filename,item_cdn_url,participant_id,participant_external_id,participant_display_name,participant_tags,participant_quality_grade,participant_quality_grade_item,test_item_display_order,exposure_number,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,saccade_amplitude_percent,notes
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,38.817401960784,49.414488017429,9,407,398,10.544690289621,"RealEye v14.13.0; FixationFilterSettings [gazePointInterpolationHz = 30; gazePointInterpolationMaxGapMs = 50; gazeVelocityThreshold = 150; minFixationDurationMs = 80; maxFixationDurationMs = 400; movingMediaRangeMs = 200; saccadeMaxDurationMs = 150]; TestCriteria [;isGenderMale=true;isGenderFemale=true;isGenderOther=true;isGenderNotSpecified=true;exposureNumber=1;qualityMin=1;qualityMax=6;exposureNumber=1;isParticipantTypeRealEye=true;isParticipantTypeNonRealEye=true;isDeviceDesktop=true;isDeviceSmartphone=true;isDeviceTablet=true;isSetupLocal=true;isSetupMouse=true;isSetupOpengaze=true]; 2023-06-30T23:24:42+00:00"
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,49.733502351558,58.688051146384,438,838,400,3.9786556669133,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,45.519097222222,61.806572671156,856,1252,396,2.1731785468098,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,43.336438964911,59.663630381223,1271,1666,395,3.4925863144946,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,46.886574074074,56.35951013402,1686,2059,373,5.0697009907171,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,52.622685185185,58.074977416441,2088,2435,347,21.993201755497,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,77.799014136905,61.102099867725,2468,2852,384,5.0853118197842,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,83.250708842814,64.797916508443,2885,3269,384,1.2781992678229,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,84.394177971576,63.165441968131,3298,3647,349,4.38133638638,
cab3ff13-8fd6-4fdf-bd91-b5346c43641c,18a3af6d-17cf-4464-ab88-55cf6713bfae,vy1024x768.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_cab3ff13-8fd6-4fdf-bd91-b5346c43641c/project_lg_18a3af6d-17cf-4464-ab88-55cf6713bfae.jpg?v=14.13.0,0523484a-6d0c-4a34-ba27-b5c126a3c771,,Anonymous,,6,6,1,1,79.931739267677,59.050925925926,3680,4054,374,5.1918234438361,
